Walchensee — 2026-08-12
  dominant thermal-favourable; peak 11.3 kn (4 Bft) N ~14h · gusts to 16.0 kn ~17h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Scenario   | Conf | Note
  00   | SSE  |     3.1 (1) |   5.6   | gradient | med  | raw (no local calib yet)
  01   | S    |     3.4 (1) |   6.2   | gradient | med  | raw (no local calib yet)
  02   | S    |     3.5 (1) |   5.9   | gradient | med  | raw (no local calib yet)
  03   | S    |     3.6 (1) |   6.4   | gradient | med  | raw (no local calib yet)
  04   | S    |     3.3 (1) |   6.1   | gradient | med  | raw (no local calib yet)
  05   | S    |     3.1 (1) |   5.6   | gradient | med  | raw (no local calib yet)
  06   | S    |     4.2 (2) |   6.8   | gradient | high | 
  07   | SSE  |     3.2 (1) |   5.0   | gradient | high | 
  08   | NNW  |     1.5 (1) |   4.2   | calm     | high | cold-pool capped Δθ+5.2
  09   | N    |     1.3 (1) |   3.7   | calm     | med  | cold-pool capped Δθ+3.0
  10   | NNE  |     2.9 (1) |   6.4   | calm     | med  | cold-pool capped Δθ+2.0
  11   | N    |     8.7 (3) |   8.7   | thermal  | high | Δθ+1.3 gust capped at ensemble ceiling
  12   | N    |    10.6 (3) |  10.6   | thermal  | high | Δθ-0.0 gust capped at ensemble ceiling
  13   | N    |    11.1 (4) |  12.3   | thermal  | high | Δθ-1.2 gust capped at ensemble ceiling
  14   | N    |    11.3 (4) |  14.2   | thermal  | high | Δθ-1.4 gust capped at ensemble ceiling
  15   | N    |    11.2 (4) |  14.9   | thermal  | high | Δθ-1.1 gust capped at ensemble ceiling
  16   | N    |    11.2 (4) |  14.0   | thermal  | high | Δθ-0.9
  17   | N    |    10.4 (3) |  16.0   | thermal  | high | Δθ-0.6
  18   | N    |     7.5 (3) |  11.6   | thermal  | med  | raw (no local calib yet) Δθ-0.2
  19   | NE   |     6.7 (2) |  10.7   | thermal  | med  | raw (no local calib yet) Δθ+0.2
  20   | NE   |     3.8 (1) |   8.8   | gradient | med  | raw (no local calib yet)
  21   | SE   |     2.8 (1) |   5.2   | gradient | med  | raw (no local calib yet)
  22   | SE   |     2.2 (1) |   4.3   | gradient | med  | raw (no local calib yet)
  23   | SE   |     2.5 (1) |   4.3   | gradient | med  | raw (no local calib yet)
