Kochelsee — 2026-08-11
  dominant thermal-favourable; peak 8.0 kn (3 Bft) SSE ~02h · gusts to 14.9 kn ~03h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Scenario   | Conf | Note
  00   | SSE  |     6.6 (2) |  13.4   | gradient | med  | raw (no local calib yet)
  01   | SSE  |     6.5 (2) |  12.1   | gradient | med  | raw (no local calib yet)
  02   | SSE  |     8.0 (3) |  11.9   | gradient | med  | raw (no local calib yet)
  03   | SSE  |     7.1 (3) |  14.9   | gradient | med  | raw (no local calib yet)
  04   | SSE  |     6.3 (2) |  12.5   | gradient | med  | raw (no local calib yet)
  05   | SSE  |     2.2 (1) |   8.6   | gradient | med  | raw (no local calib yet)
  06   | ENE  |     0.8 (0) |   5.8   | calm     | high | glassy Δθ+1.1
  07   | SSE  |     1.7 (1) |   4.7   | calm     | high | glassy Δθ+0.9
  08   | ESE  |     0.3 (0) |   3.1   | calm     | high | cold-pool capped Δθ+2.0
  09   | N    |     1.5 (1) |   3.2   | calm     | high | cold-pool capped Δθ+1.6
  10   | N    |     2.8 (1) |   5.3   | calm     | high | cold-pool capped Δθ+2.0
  11   | N    |     3.5 (1) |   5.5   | thermal  | high | Δθ+0.2
  12   | NNW  |     1.6 (1) |   3.3   | thermal  | high | Δθ-0.6
  13   | N    |     1.5 (1) |   4.2   | thermal  | med  | raw (no local calib yet) Δθ-1.2
  14   | NNE  |     1.9 (1) |   4.6   | gradient | med  | raw (no local calib yet)
  15   | NNE  |     1.9 (1) |   5.3   | gradient | med  | raw (no local calib yet)
  16   | NNE  |     3.0 (1) |   6.0   | thermal  | med  | raw (no local calib yet) Δθ-1.2
  17   | NNE  |     4.3 (2) |   7.8   | thermal  | med  | raw (no local calib yet) Δθ-1.1
  18   | NNE  |     5.6 (2) |  11.6   | thermal  | med  | raw (no local calib yet) Δθ-0.4
  19   | NNE  |     5.2 (2) |  12.3   | thermal  | med  | raw (no local calib yet) Δθ+0.1
  20   | NE   |     2.8 (1) |  12.2   | gradient | high | 
  21   | ENE  |     1.0 (1) |   4.3   | calm     | med  | cold-pool capped Δθ+2.7
  22   | N    |     0.0 (0) |   1.9   | calm     | high | cold-pool capped Δθ+2.6
  23   | S    |     0.5 (0) |   0.9   | calm     | high | cold-pool capped Δθ+1.6
